time,timestamp,right_position,heading,real_right_velocity,right_jerk,right_velocity,left_jerk,left_velocity,right_accel,right_error,real_heading,left_accel,left_error,real_left_velocity,left_position
118.76,109932,17.435,0.000,7.531,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.080,-8.000,-351.000,7.488,17.435
118.76,110407,19.536,0.000,2.569,5.712,2.414,5.712,2.414,-7.714,-19.000,-3.720,-7.714,35.000,2.518,19.536
118.76,110609,19.854,0.000,0.986,11.429,1.157,11.429,1.157,-5.429,152.000,-3.910,-5.429,161.000,0.897,19.854
118.76,110707,19.935,0.000,0.396,11.429,0.700,11.429,0.700,-4.286,107.000,-3.960,-4.286,214.000,0.331,19.935
118.77,107361,0.039,0.000,0.000,11.429,0.357,11.429,0.357,2.571,21.000,0.000,2.571,47.000,0.000,0.039
118.77,110258,19.115,0.000,3.962,0.000,3.600,0.000,3.600,-8.000,-144.000,-3.320,-8.000,-83.000,3.984,19.115
118.77,108075,1.725,0.000,3.984,-0.000,4.800,-0.000,4.800,8.000,209.000,-1.160,8.000,327.000,3.878,1.725
118.77,108562,5.204,0.000,8.536,-11.429,8.571,-11.429,8.571,6.000,-6.000,-0.400,6.000,33.000,8.726,5.204
118.77,109992,17.735,0.000,6.775,0.000,6.000,0.000,6.000,-8.000,-291.000,-3.010,-8.000,-351.000,6.813,17.735
118.77,107819,0.725,0.000,1.388,11.429,2.800,11.429,2.800,7.714,478.000,-0.370,7.714,457.000,1.290,0.725
118.77,110521,19.725,0.000,1.547,11.429,1.729,11.429,1.729,-6.572,152.000,-3.760,-6.572,35.000,1.439,19.725
118.77,107606,0.275,0.000,0.160,11.429,1.429,11.429,1.429,5.429,300.000,0.030,5.429,257.000,0.182,0.275
118.77,108511,4.775,0.000,7.962,-11.429,8.271,-11.429,8.271,6.571,116.000,-0.570,6.571,33.000,8.249,4.775
118.77,110958,19.999,0.000,-0.057,11.429,0.057,11.429,0.057,-1.429,68.000,-3.940,-1.429,84.000,0.005,19.999
118.77,108649,5.646,0.000,9.241,-11.429,8.843,-11.429,8.843,5.429,-6.000,-0.260,5.429,-254.000,9.658,5.646
118.77,108495,4.361,0.000,7.818,-11.429,7.943,-11.429,7.943,7.143,116.000,-0.590,7.143,33.000,7.845,4.361
118.77,110505,19.725,0.000,1.694,11.429,1.729,11.429,1.729,-6.572,152.000,-3.730,-6.572,35.000,1.580,19.725
118.77,111030,20.000,0.000,-0.073,11.429,0.014,11.429,0.014,-0.857,68.000,-3.910,-0.857,5.000,0.000,20.000
118.77,108311,3.225,0.000,6.306,0.000,6.800,0.000,6.800,8.000,58.000,-0.730,8.000,123.000,6.420,3.225
118.77,110848,19.979,0.000,-0.030,11.429,0.357,11.429,0.357,-3.143,169.000,-3.920,-3.143,214.000,0.000,19.979
118.77,107467,0.100,0.000,0.003,11.429,0.700,11.429,0.700,3.714,131.000,-0.010,3.714,257.000,0.000,0.100
118.77,110976,19.999,0.000,-0.065,11.429,0.057,11.429,0.057,-1.429,68.000,-3.940,-1.429,84.000,0.005,19.999
118.77,110992,19.999,0.000,-0.062,11.429,0.057,11.429,0.057,-1.429,68.000,-3.920,-1.429,84.000,0.005,19.999
118.77,109953,17.435,0.000,7.287,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.060,-8.000,-351.000,7.222,17.435
118.77,110779,19.961,0.000,0.054,11.429,0.514,11.429,0.514,-3.715,107.000,-4.000,-3.715,214.000,0.079,19.961
118.77,108801,7.039,0.000,9.918,-11.429,9.486,-11.429,9.486,3.714,-263.000,-0.320,3.714,-314.000,10.393,7.039
118.78,108698,6.100,0.000,9.799,-11.429,9.086,-11.429,9.086,4.857,-6.000,-0.290,4.857,-254.000,9.935,6.100
118.78,108862,8.010,0.000,9.794,-11.429,9.771,-11.429,9.771,2.571,-64.000,-0.420,2.571,-314.000,10.761,8.010
118.78,110437,19.536,0.000,2.387,5.712,2.414,5.712,2.414,-7.714,-19.000,-3.720,-7.714,35.000,2.309,19.536
118.78,108026,1.485,0.000,3.621,0.000,4.400,0.000,4.400,8.000,353.000,-1.130,8.000,327.000,3.528,1.485
118.78,109318,12.479,0.000,10.444,-11.429,9.771,-11.429,9.771,-2.000,-207.000,-3.030,-2.000,-241.000,10.347,12.479
118.78,108520,4.775,0.000,7.962,-11.429,8.271,-11.429,8.271,6.571,116.000,-0.570,6.571,33.000,8.249,4.775
118.78,110821,19.979,0.000,-0.014,11.429,0.357,11.429,0.357,-3.143,169.000,-3.930,-3.143,214.000,0.003,19.979
118.78,108934,8.504,0.000,10.320,-11.429,9.871,-11.429,9.871,2.000,-64.000,-0.730,2.000,-314.000,10.864,8.504
118.78,109379,12.961,0.000,10.469,-11.429,9.643,-11.429,9.643,-2.571,-278.000,-3.060,-2.571,-241.000,10.374,12.961
118.78,110191,18.735,0.000,4.721,0.000,4.400,0.000,4.400,-8.000,-144.000,-3.050,-8.000,-299.000,4.631,18.735
118.78,110208,18.935,0.000,4.431,-0.000,4.000,-0.000,4.000,-8.000,-144.000,-3.090,-8.000,-299.000,4.433,18.935
118.78,110833,19.979,0.000,-0.014,11.429,0.357,11.429,0.357,-3.143,169.000,-3.930,-3.143,214.000,0.003,19.979
118.78,107383,0.039,0.000,0.000,11.429,0.357,11.429,0.357,2.571,21.000,0.000,2.571,47.000,0.000,0.039
118.78,111131,20.000,0.000,-0.100,5.717,0.000,5.717,0.000,-0.000,35.000,-3.870,-0.000,5.000,-0.035,20.000
118.78,109728,16.036,0.000,9.119,-11.429,7.943,-11.429,7.943,-6.571,-378.000,-3.190,-6.571,-387.000,9.084,16.036
118.78,108007,1.485,0.000,3.439,0.000,4.400,0.000,4.400,8.000,353.000,-1.090,8.000,327.000,3.328,1.485
118.78,110482,19.639,0.000,1.845,11.426,2.057,11.426,2.057,-7.143,152.000,-3.720,-7.143,35.000,1.927,19.639
118.79,107444,0.065,0.000,0.000,11.429,0.514,11.429,0.514,3.143,131.000,-0.010,3.143,47.000,0.000,0.065
118.79,108434,3.964,0.000,7.439,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.570,7.714,123.000,7.423,3.964
118.79,108657,6.100,0.000,9.534,-11.429,9.086,-11.429,9.086,4.857,-6.000,-0.260,4.857,-254.000,9.658,6.100
118.79,109544,14.354,0.000,10.073,-11.429,9.086,-11.429,9.086,-4.285,-333.000,-3.250,-4.285,-318.000,10.038,14.354
118.79,108622,5.646,0.000,9.187,-11.429,8.843,-11.429,8.843,5.429,-6.000,-0.320,5.429,-254.000,9.428,5.646
118.79,109695,15.639,0.000,9.401,-11.429,8.272,-11.429,8.272,-6.000,-378.000,-3.220,-6.000,-387.000,9.322,15.639
118.79,110043,18.015,0.000,6.078,-0.000,5.600,-0.000,5.600,-8.000,-291.000,-3.000,-8.000,-351.000,6.387,18.015
118.79,110943,19.997,0.000,-0.057,11.429,0.129,11.429,0.129,-2.000,68.000,-3.940,-2.000,84.000,0.005,19.997
118.79,108221,2.565,0.000,5.401,-0.000,6.000,-0.000,6.000,8.000,58.000,-0.900,8.000,290.000,5.482,2.565
118.79,107558,0.204,0.000,0.098,11.429,1.157,11.429,1.157,4.857,300.000,-0.020,4.857,257.000,0.087,0.204
118.79,109298,11.990,0.000,10.509,-11.429,9.871,-11.429,9.871,-1.428,-207.000,-3.000,-1.428,-241.000,10.385,11.990
118.79,108081,1.725,0.000,4.168,-0.000,4.800,-0.000,4.800,8.000,209.000,-1.160,8.000,327.000,3.878,1.725
118.79,108451,3.964,0.000,7.490,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.580,7.714,33.000,7.545,3.964
118.79,108717,6.565,0.000,9.799,-11.429,9.300,-11.429,9.300,4.286,-263.000,-0.290,4.286,-254.000,10.141,6.565
118.79,108986,9.001,0.000,10.756,-11.429,9.943,-11.429,9.943,1.429,-64.000,-1.290,1.429,-273.000,10.336,9.001
118.79,107930,1.065,0.000,2.631,0.000,3.600,0.000,3.600,8.000,353.000,-0.930,8.000,457.000,2.439,1.065
118.79,109122,10.500,0.000,10.694,-5.714,10.000,-5.714,10.000,0.000,-269.000,-2.420,0.000,-234.000,10.455,10.500
118.79,107736,0.464,0.000,0.743,11.429,2.057,11.429,2.057,6.571,478.000,-0.070,6.571,436.000,0.745,0.464
118.79,110399,19.415,0.000,2.569,0.000,2.800,0.000,2.800,-8.000,-19.000,-3.710,-8.000,35.000,2.699,19.415
118.79,109001,9.001,0.000,10.685,-11.429,9.943,-11.429,9.943,1.429,-64.000,-1.440,1.429,-273.000,10.336,9.001
118.79,110459,19.639,0.000,2.179,11.426,2.057,11.426,2.057,-7.143,-19.000,-3.720,-7.143,35.000,2.108,19.639
118.79,107400,0.039,0.000,0.000,11.429,0.357,11.429,0.357,2.571,21.000,-0.010,2.571,47.000,0.000,0.039
118.8,107783,0.585,0.000,1.211,11.429,2.414,11.429,2.414,7.143,478.000,-0.180,7.143,436.000,1.005,0.585
118.8,110883,19.990,0.000,-0.054,11.429,0.229,11.429,0.229,-2.572,169.000,-3.940,-2.572,84.000,0.000,19.990
118.8,107164,0.001,0.000,0.000,11.429,0.029,11.429,0.029,0.571,-84.000,0.000,0.571,15.000,0.000,0.001
118.8,111074,20.000,0.000,-0.081,11.429,0.000,11.429,0.000,-0.286,68.000,-3.860,-0.286,5.000,0.000,20.000
118.8,109492,13.900,0.000,10.189,-11.429,9.300,-11.429,9.300,-3.714,-278.000,-3.190,-3.714,-318.000,10.130,13.900
118.8,107253,0.004,0.000,0.000,-0.000,0.057,-0.000,0.057,0.571,21.000,0.000,0.571,15.000,0.000,0.004
118.8,109048,9.500,0.000,10.563,-11.429,9.986,-11.429,9.986,0.857,-269.000,-1.800,0.857,-273.000,10.661,9.500
118.8,108721,6.565,0.000,9.848,-11.429,9.300,-11.429,9.300,4.286,-263.000,-0.290,4.286,-254.000,10.141,6.565
118.8,109116,10.500,0.000,10.685,-5.714,10.000,-5.714,10.000,0.000,-269.000,-2.420,0.000,-234.000,10.620,10.500
118.8,111116,20.000,0.000,-0.095,5.717,0.000,5.717,0.000,-0.000,35.000,-3.860,-0.000,5.000,-0.011,20.000
118.8,108758,7.039,0.000,10.024,-11.429,9.486,-11.429,9.486,3.714,-263.000,-0.350,3.714,-254.000,10.181,7.039
118.8,107638,0.275,0.000,0.274,11.429,1.429,11.429,1.429,5.429,300.000,0.020,5.429,436.000,0.236,0.275
118.8,108363,3.585,0.000,6.848,0.000,7.200,0.000,7.200,8.000,58.000,-0.660,8.000,123.000,6.829,3.585
118.8,110359,19.415,0.000,2.967,0.000,2.800,0.000,2.800,-8.000,-19.000,-3.700,-8.000,-83.000,3.049,19.415
118.8,108194,2.265,0.000,5.141,0.000,5.600,0.000,5.600,8.000,209.000,-0.950,8.000,290.000,5.274,2.265
118.8,108924,8.504,0.000,10.320,-11.429,9.871,-11.429,9.871,2.000,-64.000,-0.730,2.000,-314.000,10.864,8.504
118.81,111045,20.000,0.000,-0.081,11.429,0.014,11.429,0.014,-0.857,68.000,-3.890,-0.857,5.000,0.000,20.000
118.81,108537,4.775,0.000,8.233,-11.429,8.271,-11.429,8.271,6.571,-6.000,-0.530,6.571,33.000,8.439,4.775
118.81,109880,17.115,0.000,7.834,-5.717,6.800,-5.717,6.800,-8.000,-423.000,-3.120,-8.000,-372.000,7.986,17.115
118.81,110021,18.015,0.000,6.371,-0.000,5.600,-0.000,5.600,-8.000,-291.000,-3.020,-8.000,-351.000,6.580,18.015
118.81,107283,0.010,0.000,0.003,17.143,0.129,17.143,0.129,1.429,21.000,-0.010,1.429,15.000,0.000,0.010
118.81,108977,9.001,0.000,10.729,-11.429,9.943,-11.429,9.943,1.429,-64.000,-1.290,1.429,-273.000,10.347,9.001
118.81,109923,17.435,0.000,7.531,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.080,-8.000,-351.000,7.737,17.435
118.81,107341,0.021,0.000,0.003,11.429,0.229,11.429,0.229,2.000,21.000,-0.010,2.000,47.000,0.000,0.021
118.81,110180,18.735,0.000,5.011,0.000,4.400,0.000,4.400,-8.000,-144.000,-3.050,-8.000,-299.000,4.924,18.735
118.81,110475,19.639,0.000,1.997,11.426,2.057,11.426,2.057,-7.143,152.000,-3.720,-7.143,35.000,1.927,19.639
118.81,108200,2.265,0.000,5.141,0.000,5.600,0.000,5.600,8.000,209.000,-0.950,8.000,290.000,5.274,2.265
118.81,108409,3.964,0.000,7.309,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.590,7.714,123.000,7.257,3.964
118.81,110583,19.797,0.000,1.125,11.429,1.429,11.429,1.429,-6.000,152.000,-3.900,-6.000,161.000,1.016,19.797
118.81,108280,2.885,0.000,5.994,-0.000,6.400,-0.000,6.400,8.000,58.000,-0.750,8.000,123.000,6.022,2.885
118.81,110968,19.999,0.000,-0.065,11.429,0.057,11.429,0.057,-1.429,68.000,-3.940,-1.429,84.000,0.005,19.999
118.81,110126,18.515,0.000,5.298,-0.000,4.800,-0.000,4.800,-8.000,-291.000,-3.020,-8.000,-299.000,5.363,18.515
118.81,110369,19.415,0.000,2.967,0.000,2.800,0.000,2.800,-8.000,-19.000,-3.710,-8.000,-83.000,2.892,19.415
118.81,107226,0.004,0.000,0.000,-0.000,0.057,-0.000,0.057,0.571,-84.000,0.000,0.571,15.000,0.000,0.004
118.81,107978,1.265,0.000,3.049,0.000,4.000,0.000,4.000,8.000,353.000,-1.010,8.000,327.000,2.921,1.265
118.81,107748,0.464,0.000,0.908,11.429,2.057,11.429,2.057,6.571,478.000,-0.070,6.571,436.000,0.883,0.464
118.81,108681,6.100,0.000,9.731,-11.429,9.086,-11.429,9.086,4.857,-6.000,-0.260,4.857,-254.000,9.875,6.100
118.81,108795,7.039,0.000,9.859,-11.429,9.486,-11.429,9.486,3.714,-263.000,-0.350,3.714,-314.000,10.393,7.039
118.82,109140,10.500,0.000,10.694,-5.714,10.000,-5.714,10.000,0.000,-269.000,-2.490,0.000,-234.000,10.455,10.500
118.82,107892,0.885,0.000,2.228,5.714,3.200,5.714,3.200,8.000,353.000,-0.670,8.000,457.000,2.030,0.885
118.82,109177,10.999,0.000,10.490,-5.712,9.986,-5.712,9.986,-0.286,-269.000,-2.750,-0.286,-234.000,10.170,10.999
118.82,109605,15.225,0.000,9.788,-11.429,8.572,-11.429,8.572,-5.428,-333.000,-3.260,-5.428,-387.000,9.750,15.225
118.82,110757,19.961,0.000,0.179,11.429,0.514,11.429,0.514,-3.715,107.000,-3.990,-3.715,214.000,0.141,19.961
118.82,110451,19.536,0.000,2.179,5.712,2.414,5.712,2.414,-7.714,-19.000,-3.720,-7.714,35.000,2.108,19.536
118.82,110809,19.979,0.000,0.011,11.429,0.357,11.429,0.357,-3.143,169.000,-3.950,-3.143,214.000,0.008,19.979
118.82,110692,19.900,0.000,0.491,11.429,0.914,11.429,0.914,-4.857,107.000,-3.950,-4.857,161.000,0.444,19.900
118.82,108543,4.775,0.000,8.233,-11.429,8.271,-11.429,8.271,6.571,-6.000,-0.440,6.571,33.000,8.439,4.775
118.82,110162,18.735,0.000,5.011,0.000,4.400,0.000,4.400,-8.000,-144.000,-3.010,-8.000,-299.000,4.924,18.735
118.82,108812,7.521,0.000,9.918,-11.429,9.643,-11.429,9.643,3.143,-263.000,-0.320,3.143,-314.000,10.523,7.521
118.82,109476,13.900,0.000,10.206,-11.429,9.300,-11.429,9.300,-3.714,-278.000,-3.170,-3.714,-318.000,10.157,13.900
118.82,107530,0.146,0.000,0.051,11.429,0.914,11.429,0.914,4.286,131.000,-0.040,4.286,257.000,0.022,0.146
118.82,109595,14.796,0.000,9.908,-11.429,8.843,-11.429,8.843,-4.857,-333.000,-3.230,-4.857,-387.000,9.878,14.796
118.82,109615,15.225,0.000,9.788,-11.429,8.572,-11.429,8.572,-5.428,-333.000,-3.260,-5.428,-387.000,9.750,15.225
118.82,108425,3.964,0.000,7.439,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.570,7.714,123.000,7.257,3.964
118.83,108995,9.001,0.000,10.756,-11.429,9.943,-11.429,9.943,1.429,-64.000,-1.440,1.429,-273.000,10.336,9.001
118.83,110225,18.935,0.000,4.293,-0.000,4.000,-0.000,4.000,-8.000,-144.000,-3.140,-8.000,-83.000,4.230,18.935
118.83,110634,19.854,0.000,0.864,11.429,1.157,11.429,1.157,-5.429,107.000,-3.930,-5.429,161.000,0.780,19.854
118.83,110750,19.935,0.000,0.179,11.429,0.700,11.429,0.700,-4.286,107.000,-3.990,-4.286,214.000,0.141,19.935
118.83,111143,20.000,0.000,-0.106,5.717,0.000,5.717,0.000,-0.000,35.000,-3.870,-0.000,5.000,-0.062,20.000
118.83,110698,19.900,0.000,0.491,11.429,0.914,11.429,0.914,-4.857,107.000,-3.950,-4.857,161.000,0.444,19.900
118.83,111099,20.000,0.000,-0.095,11.429,0.000,11.429,0.000,-0.286,35.000,-3.860,-0.286,5.000,0.000,20.000
118.83,108035,1.485,0.000,3.621,0.000,4.400,0.000,4.400,8.000,353.000,-1.160,8.000,327.000,3.528,1.485
