timestampThrottle,Steer,QuickTurn,Incrementer,Mag1,Mag2
92242.243,-0.00,0.00,false,284,true,true
92261.203,-0.00,0.00,false,285,true,true
92280.70599999999,-0.00,0.00,false,286,true,true
92301.872,-0.00,0.00,false,287,true,true
92320.925,-0.00,0.00,false,288,true,true
92341.162,-0.00,0.00,false,289,true,true
92361.017,-0.00,0.00,false,290,true,true
92380.16100000001,-0.00,0.00,false,291,true,true
92400.401,-0.00,0.00,false,292,true,true
92420.466,-0.00,0.00,false,293,true,true
92441.585,-0.00,0.00,false,294,true,true
92460.80399999999,-0.00,0.00,false,295,true,true
92481.213,-0.00,0.00,false,296,true,true
92501.22600000001,-0.00,0.00,false,297,true,true
92520.314,-0.00,0.00,false,298,true,true
92541.18800000001,-0.00,0.00,false,299,true,true
92561.01800000001,-0.00,0.00,false,300,true,true
92580.304,-0.00,0.00,false,301,true,true
92601.007,-0.00,0.00,false,302,true,true
92621.10900000001,-0.00,0.00,false,303,true,true
92640.209,-0.00,0.00,false,304,true,true
92661.245,-0.00,0.00,false,305,true,true
92680.86499999999,-0.00,0.00,false,306,true,true
92701.487,-0.00,0.00,false,307,true,true
92720.74,-0.00,0.00,false,308,true,true
92740.783,-0.00,0.00,false,309,true,true
92761.86300000001,-0.00,0.00,false,310,true,true
92781.373,-0.00,0.00,false,311,true,true
92800.623,-0.00,0.00,false,312,true,true
92821.518,-0.00,0.00,false,313,true,true
92840.572,-0.00,0.00,false,314,true,true
92861.10100000001,-0.00,0.00,false,315,true,true
92880.904,-0.00,0.00,false,316,true,true
92901.45,-0.00,0.00,false,317,true,true
92920.936,-0.00,0.00,false,318,true,true
92941.894,-0.00,0.00,false,319,true,true
92961.42,-0.00,0.00,false,320,true,true
92981.12700000001,-0.00,0.00,false,321,true,true
93000.60100000001,-0.00,0.00,false,322,true,true
93020.99200000001,-0.00,0.00,false,323,true,true
93041.091,-0.00,0.00,false,324,true,true
93060.166,-0.00,0.00,false,325,true,true
93080.8,-0.00,0.00,false,326,true,true
93101.191,-0.00,0.00,false,327,true,true
93120.40000000001,-0.00,0.00,false,328,true,true
93140.96800000001,-0.00,0.00,false,329,true,true
93161.3,-0.00,0.00,false,330,true,true
93180.611,-0.00,0.00,false,331,true,true
93201.71100000001,-0.00,0.00,false,332,true,true
93221.08099999999,-0.00,0.00,false,333,true,true
93240.81999999999,-0.00,0.00,false,334,true,true
93261.94099999999,-0.00,0.00,false,335,true,true
93281.68599999999,-0.00,0.00,false,336,true,true
93301.799,-0.00,0.00,false,337,true,true
93321.885,-0.00,0.00,false,338,true,true
93341.66,-0.00,0.00,false,339,true,true
93360.912,-0.00,0.00,false,340,true,true
93381.036,-0.00,0.00,false,341,true,true
93400.40999999999,-0.00,0.00,false,342,true,true
93421.01,-0.00,0.00,false,343,true,true
93441.585,-0.00,0.00,false,344,true,true
93461.44099999999,-0.00,0.00,false,345,true,true
93481.187,-0.00,0.00,false,346,true,true
93500.399,-0.00,0.00,false,347,true,true
93520.656,-0.00,0.00,false,348,true,true
93541.747,-0.00,0.00,false,349,true,true
93561.175,-0.00,0.00,false,350,true,true
93581.311,-0.00,0.00,false,351,true,true
93601.365,-0.00,0.00,false,352,true,true
93620.399,-0.00,0.00,false,353,true,true
93640.675,-0.00,0.00,false,354,true,true
93661.64899999999,-0.00,0.00,false,355,true,true
93681.346,-0.00,0.00,false,356,true,true
93701.049,-0.00,0.00,false,357,true,true
93720.94099999999,-0.00,0.00,false,358,true,true
93741.388,-0.00,0.00,false,359,true,true
93761.394,-0.00,0.00,false,360,true,true
93781.467,-0.00,0.00,false,361,true,true
93801.123,-0.00,0.00,false,362,true,true
93820.533,-0.00,0.00,false,363,true,true
93841.405,-0.00,0.00,false,364,true,true
93861.524,-0.00,0.00,false,365,true,true
93881.27,-0.00,0.00,false,366,true,true
93900.839,-0.00,0.00,false,367,true,true
93921.808,-0.00,0.00,false,368,true,true
93941.784,-0.00,0.00,false,369,true,true
93961.203,-0.00,0.00,false,370,true,true
93980.916,-0.00,0.00,false,371,true,true
94001.265,-0.00,0.00,false,372,true,true
94020.94099999999,-0.00,0.00,false,373,true,true
94041.992,-0.00,0.00,false,374,true,true
94061.272,-0.00,0.00,false,375,true,true
94101.817,-0.00,0.00,false,376,true,true
94141.102,-0.00,0.00,false,377,true,true
94180.57500000001,-0.00,0.00,false,378,true,true
94201.00499999999,-0.00,0.00,false,379,true,true
94221.092,-0.00,0.00,false,380,true,true
94240.991,-0.00,0.00,false,381,true,true
94262.135,-0.00,0.00,false,382,true,true
94280.637,-0.00,0.00,false,383,true,true
